file_path,category,sequence_id,sequence_order,doc_type,notes
A_clean_ocr/HOUSE_OVERSIGHT_016111.jpg,A,,,email,"clean email, legible text, no redactions"
A_clean_ocr/HOUSE_OVERSIGHT_016119.jpg,A,,,email,"clean email with metadata header, no redactions"
A_clean_ocr/HOUSE_OVERSIGHT_016121.jpg,A,,,email,"clean email-style layout, small chart region"
A_clean_ocr/HOUSE_OVERSIGHT_011636.jpg,A,,,report,"clean article/excerpt page, high contrast"
A_clean_ocr/HOUSE_OVERSIGHT_011637.jpg,A,,,report,"clean article/excerpt page, high contrast"
A_clean_ocr/HOUSE_OVERSIGHT_011638.jpg,A,,,report,"clean article/excerpt page, high contrast"
A_clean_ocr/HOUSE_OVERSIGHT_011639.jpg,A,,,report,"clean article/excerpt page, high contrast"
A_clean_ocr/HOUSE_OVERSIGHT_011640.jpg,A,,,report,"clean article/excerpt page, high contrast"
A_clean_ocr/HOUSE_OVERSIGHT_017989.jpg,A,,,report,"clean multi-paragraph report page"
A_clean_ocr/HOUSE_OVERSIGHT_017993.jpg,A,,,report,"clean multi-paragraph report page"

B_redacted/HOUSE_OVERSIGHT_018224.jpg,B,,,chat_log,"JSON-style Skype/chat log with redacted fields"
B_redacted/HOUSE_OVERSIGHT_018225.jpg,B,,,chat_log,"JSON-style Skype/chat log with redacted identifiers"
B_redacted/HOUSE_OVERSIGHT_018226.jpg,B,,,chat_log,"JSON-style Skype/chat log, heavy redaction of names"
B_redacted/HOUSE_OVERSIGHT_022695.jpg,B,,,email,"email with forwarded article, redacted header info"
B_redacted/HOUSE_OVERSIGHT_030502.jpg,B,,,email,"multi-message email thread, some redactions"
B_redacted/HOUSE_OVERSIGHT_030597.jpg,B,,,letter,"journalist letter with partial redactions"
B_redacted/HOUSE_OVERSIGHT_031012.jpg,B,,,email,"multi-recipient email, heavy redaction in header/body"
B_redacted/HOUSE_OVERSIGHT_031024.jpg,B,,,email,"email with repeated signature blocks, some redactions"
B_redacted/HOUSE_OVERSIGHT_031482.jpg,B,,,email,"email plus quoted article, redacted contact info"
B_redacted/HOUSE_OVERSIGHT_031646.jpg,B,,,email,"email thread with redacted recipient/sender fields"
B_redacted/HOUSE_OVERSIGHT_010727.jpg,B,,,email,"short email note with minor redactions"
B_redacted/HOUSE_OVERSIGHT_010564.jpg,B,,,letter,"typed letter with redacted body text"
B_redacted/HOUSE_OVERSIGHT_010563.jpg,B,,,letter,"typed letter with redacted body text"
B_redacted/HOUSE_OVERSIGHT_010562.jpg,B,,,letter,"typed letter with redacted body text"
B_redacted/HOUSE_OVERSIGHT_010561.jpg,B,,,letter,"typed letter with redacted body text"

C_threads/HOUSE_OVERSIGHT_016222.jpg,C,seq1,1,report,"Deep Thinking Project participant list, page 1"
C_threads/HOUSE_OVERSIGHT_016223.jpg,C,seq1,2,report,"Deep Thinking Project participant list, page 2"
C_threads/HOUSE_OVERSIGHT_016424.jpg,C,seq2,1,legal_affidavit,"affirmation/motion to unseal, page 1"
C_threads/HOUSE_OVERSIGHT_016425.jpg,C,seq2,2,legal_affidavit,"affirmation/motion to unseal, page 2"
C_threads/HOUSE_OVERSIGHT_016426.jpg,C,seq2,3,legal_affidavit,"affirmation/motion to unseal, page 3"
C_threads/HOUSE_OVERSIGHT_016427.jpg,C,seq2,4,legal_affidavit,"affirmation/motion to unseal, page 4"
C_threads/HOUSE_OVERSIGHT_030478.jpg,C,seq3,1,email_thread,"email with attached/quoted article, page 1"
C_threads/HOUSE_OVERSIGHT_030479.jpg,C,seq3,2,email_thread,"email + article continuation, page 2"
C_threads/HOUSE_OVERSIGHT_030480.jpg,C,seq3,3,email_thread,"email + article continuation, page 3"

D_hard_ocr/HOUSE_OVERSIGHT_024634.jpg,D,,,report_chart,"dense chart/visualization with small axis labels"
D_hard_ocr/HOUSE_OVERSIGHT_024633.jpg,D,,,report_map,"multi-panel US state maps, very small text"
D_hard_ocr/HOUSE_OVERSIGHT_024632.jpg,D,,,report_map,"world + US maps with small regional labels"
D_hard_ocr/HOUSE_OVERSIGHT_024631.jpg,D,,,report,"report-style page with dense bullets and mixed layout"
D_hard_ocr/HOUSE_OVERSIGHT_010617.jpg,D,,,form,"financial disclosure form with handwriting over fields"
D_hard_ocr/HOUSE_OVERSIGHT_010511.jpg,D,,,book_page,"scanned book page, gutter shadow and small serif text"
D_hard_ocr/HOUSE_OVERSIGHT_010510.jpg,D,,,book_page,"scanned book page, gutter shadow and curvature"
D_hard_ocr/HOUSE_OVERSIGHT_010509.jpg,D,,,book_page,"scanned book page, dense paragraphs and fold shadow"
D_hard_ocr/HOUSE_OVERSIGHT_010508.jpg,D,,,book_page,"scanned book page, small serif text near gutter"
D_hard_ocr/HOUSE_OVERSIGHT_010507.jpg,D,,,book_page,"scanned book page, dark gutter and warped lines"
D_hard_ocr/HOUSE_OVERSIGHT_010506.jpg,D,,,book_page,"scanned book page, warped text near fold"
D_hard_ocr/HOUSE_OVERSIGHT_010505.jpg,D,,,book_page,"scanned book page, tight leading and mild blur"
D_hard_ocr/HOUSE_OVERSIGHT_010504.jpg,D,,,book_page,"scanned book page, uneven lighting and shadow"
D_hard_ocr/HOUSE_OVERSIGHT_010503.jpg,D,,,book_page,"scanned book page, closely spaced paragraphs"
D_hard_ocr/HOUSE_OVERSIGHT_010502.jpg,D,,,book_page,"scanned book page, moderate gutter shadow"
D_hard_ocr/HOUSE_OVERSIGHT_010501.jpg,D,,,book_page,"scanned book page, small serif text and shadowing"
